daily_scale,weekly_scale,yearly_scale,regressor_scale,daily_order,weekly_order,yearly_order,1d_rmse,1d_mape,3d_rmse,3d_mape
8.0,8.0,5.0,10.0,5.0,3.0,3.0,1189.1878157101464,0.07949236643222274,1234.096088793375,0.08210929018890531
8.0,8.0,5.0,10.0,5.0,5.0,3.0,1183.2710377705992,0.0797035953756306,1227.3146679076176,0.0820060204510762
8.0,8.0,7.0,10.0,5.0,3.0,3.0,1189.443862888494,0.07952426888020418,1235.1622916414792,0.08216704822162661
8.0,8.0,7.0,10.0,5.0,5.0,3.0,1182.4933528692322,0.07961688430246121,1226.7769009701126,0.08195442137212139
8.0,10.0,5.0,10.0,5.0,3.0,3.0,1190.260026935001,0.07956851253250688,1234.8172815604685,0.08213682846089754
8.0,10.0,5.0,10.0,5.0,5.0,3.0,1183.3348745060302,0.07970920883432693,1228.219583289619,0.0820664762998078
8.0,10.0,7.0,10.0,5.0,3.0,3.0,1190.3051533981013,0.07956158368948232,1235.0111179875425,0.08214717396315123
8.0,10.0,7.0,10.0,5.0,5.0,3.0,1183.7720590100987,0.07974532954901865,1227.7858086112303,0.08204637593270021
8.0,12.0,5.0,10.0,5.0,3.0,3.0,1189.806388355004,0.07949830591802554,1234.7493561837905,0.08213692113116122
8.0,12.0,5.0,10.0,5.0,5.0,3.0,1183.2301208156034,0.07967224243166088,1227.4283399811322,0.08200881053527465
8.0,12.0,7.0,10.0,5.0,3.0,3.0,1189.8433181112998,0.07949775794803765,1234.7431447302079,0.08212515030298531
8.0,12.0,7.0,10.0,5.0,5.0,3.0,1183.332884315132,0.07967900492652696,1227.2229661084855,0.08202270925839561
10.0,8.0,5.0,10.0,5.0,3.0,3.0,1190.242335917372,0.0795013515727948,1235.6817285012548,0.08216641214938718
10.0,8.0,5.0,10.0,5.0,5.0,3.0,1183.7757907274474,0.07976067081766389,1228.0802613681076,0.08205545992705228
10.0,8.0,7.0,10.0,5.0,3.0,3.0,1189.1538450627759,0.07945673462587234,1233.412193153018,0.08206339103563588
10.0,8.0,7.0,10.0,5.0,5.0,3.0,1183.4884517939458,0.0796826429063868,1228.2361065796197,0.08203147394752092
10.0,10.0,5.0,10.0,5.0,3.0,3.0,1189.8389321562433,0.07948205489490938,1234.5330764289845,0.08209476213520842
10.0,10.0,5.0,10.0,5.0,5.0,3.0,1184.3231658991958,0.07973724876467952,1229.0016988784143,0.08207711378186373
10.0,10.0,7.0,10.0,5.0,3.0,3.0,1189.7568082050532,0.07947166731990873,1234.5198455062482,0.08208770284156298
10.0,10.0,7.0,10.0,5.0,5.0,3.0,1182.0213831016633,0.07964540757285427,1226.54013714632,0.08193940366632199
10.0,12.0,5.0,10.0,5.0,3.0,3.0,1189.818537499899,0.0794993006607416,1234.5897486721294,0.08212406558619198
10.0,12.0,5.0,10.0,5.0,5.0,3.0,1184.4360791461677,0.07974841942234084,1228.3921813490329,0.08204021586183224
10.0,12.0,7.0,10.0,5.0,3.0,3.0,1190.8452721954864,0.07954146648844349,1235.4103711396126,0.08216598833794182
10.0,12.0,7.0,10.0,5.0,5.0,3.0,1182.5299951165669,0.07965460661788282,1226.8617274308392,0.08199362727025264
