,daily_order,weekly_order,daily_scale,weekly_scale,regressor_scale,1d_rmse,1d_mape,3d_rmse,3d_mape
0,2.0,2.0,20.0,20.0,30.0,1951.0494078255224,0.13845763574545303,1871.9070456486431,0.13242660679852902
1,2.0,3.0,20.0,20.0,10.0,1948.8113568662243,0.1383114223471799,1869.253743576458,0.13212728293902648
2,2.0,3.0,20.0,20.0,30.0,1948.9875538185702,0.13824006553635754,1869.3289095827397,0.13207838673352615
3,3.0,2.0,20.0,20.0,10.0,1947.6187860309549,0.1382726849214471,1868.0620062688197,0.1321529605657591
4,3.0,2.0,20.0,20.0,30.0,1946.5710007750988,0.1382143238662346,1867.004395965452,0.1321098465166208
5,3.0,3.0,20.0,20.0,10.0,1943.9427133742547,0.13800068697330642,1864.2157986942093,0.13174806029273903
6,3.0,3.0,20.0,20.0,30.0,1943.0766380246491,0.13804104013845644,1863.4549556539769,0.13176929421703595
7,2.0,2.0,30.0,10.0,10.0,1951.2854633150766,0.13850566575784845,1871.9176298673437,0.13244609965944235
8,2.0,2.0,30.0,10.0,30.0,1950.5267510925494,0.13840000618516593,1871.495137309111,0.13238587113790465
9,2.0,3.0,30.0,10.0,10.0,1948.816168745708,0.1382625575138862,1869.418925932211,0.13209882471789325
